Area me,POP ESTIMATE 2018,Housing units,Area in sq mi Land,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total Male,Total Female,Total age 0 to 17,Male age 0 to 17,Female age 0 to 17,Total age 18 to 64,Male age 18 to 64,Female age 18 to 64,Total age 65plus,Male age 5plus,Female age 65plus,Total age 85plus,Male age 85plus,Female age 85plus,Total Households,Total Households Family,Total Households Family w biological minors,Total Households Family Married couple,Total Households Family Married Couple Biological minor,Total Households Family Male Householder no wife present,Household BY TYPE,Total Households Family Female Householder no husband present,Total Households Family Female Householder no husband biological minor,Total Household NonFam Household,Total Household NonFam Household Householder alone,Total Household NonFam Household Householder alone 65plus,Total Household Household w multiple minors,Total Household Household w multi 65plus,Total Pop in Household,Pop in Household Number of Householders living in household,Pop in Household Number of Spouses,Pop in Household Number of Children,Pop in Household Number of Other relatives,Pop in Household Number of Nonrelatives,Pop in Household Number of Nonrelatives or Unmarried partner,Males 15plus,Males 15plus never married,Males 15plus Now married except separated,Males 15plus Separated,Males 15plus Widowed,Males 15plus Divorced,Females 15plus,Females 15plus Never married,Females 15plus Now married except separated,Females 15plus Separated,Females 15plus Widowed,Females 15plus Divorced,WA MALE,WA FEMALE,BA MALE,BA FEMALE,IA MALE,IA FEMALE,AA MALE,AA FEMALE,NA MALE,NA FEMALE,TOM MALE,TOM FEMALE,WAC MALE,WAC FEMALE,BAC MALE,BAC FEMALE,IAC MALE,IAC FEMALE,AAC MALE,AAC FEMALE,C MALE,C FEMALE,NH MALE,NH FEMALE,NHWA MALE,NHWA FEMALE,NHBA MALE,NHBA FEMALE,NHIA MALE,NHIA FEMALE,NHAA MALE,NHAA FEMALE,NH MALE,NH FEMALE,NHTOM MALE,NHTOM FEMALE,NHWAC MALE,NHWAC FEMALE,NHBAC MALE,NHBAC FEMALE,NHIAC MALE,NHIAC FEMALE,NHAAC MALE,NHAAC FEMALE,NHC MALE,NHC FEMALE,H MALE,H FEMALE,HWA MALE,HWA FEMALE,HBA MALE,HBA FEMALE,HIA MALE,HIA FEMALE,HAA MALE,HAA FEMALE,H MALE,H FEMALE,HTOM MALE,HTOM FEMALE,HWAC MALE,HWAC FEMALE,HBAC MALE,HBAC FEMALE,HIAC MALE,HIAC FEMALE,HAAC MALE,HAAC FEMALE,HC MALE,HC FEMALE,Age restricted housing,Liscensed Adult Daycare Facilities,Liscensed Adult Daycare Beds,Total Lisenced Nursing Home Facilities,Total Nursing Home Beds,Tobacco Permits,Alcohol Liscenses,Liscensed Barbers,Lisensed Cosmetologists,Total Prisons,Religious adherents 2010,Congregations 2010,Congregations Per 10K People
Florida,21299325,8989580,53624.76,350.6,167.6,10411777,10887548,4229081,2158935,2070146,12712173,6287598,6424575,4358071,1965244,2392827,571419,227285,344134,7584639,4872594,1735094,3529081,1116635,375597,152178,967916,466281,2712045,2202532,997276,1979681,2816301,20286035,7584639,3526515,5808960,1950431,1415490,502579,8321917,2968253,3993894,145850,269863,944057,8927424,2575360,3911787,215396,903635,1321246,8089081,8383044,1734958,1865163,55652,51332,291684,340053,12395,11958,228007,235998,8287297,8586574,1865993,2001502,108648,107397,367429,419320,28314,28551,7665724,8071184,5588591,5810579,1590359,1719027,26749,26940,279516,327485,6708,6867,173801,180286,5737174,5963154,1685598,1818217,65355,68369,343382,394428,19550,20395,2746053,2816364,2500490,2572465,144599,146136,28903,24392,12168,12568,5687,5091,54206,55712,2550123,2623420,180395,183285,43293,39028,24047,24892,8764,8156,4389,363,19749,691,85220,27632,50493,32763,319834,308,7357588,15611,8.303144834
District 1,773527,339002,3636,213,93,388660,384867,165642,84577,81065,478226,245165,233061,129659,58918,70741,13548,5176,8372,291051,192861,70907,144179,47876,15048,6378,33634,16653,98190,76421,30337,81304,91725,742338,291051,144151,207251,52065,47820,19596,315785,104654,156534,5434,9314,39849,317479,80678,153081,7865,26621,49234,305968,299790,55694,54305,3387,3105,9188,13160,715,749,13708,13758,318306,312126,61461,60118,7165,6962,14953,18983,1569,1588,360628,359664,282870,278959,53639,52564,2718,2582,8751,12718,551,598,12099,12243,293756,289925,58636,57612,5910,5932,14091,18147,1302,1338,28032,25203,23098,20831,2055,1741,669,523,437,442,164,151,1609,1515,24550,22201,2825,2506,1255,1030,862,836,267,250,3,3,90,28,3289,1889,3438,2151,21271,24,438983,990,53
District 2,426961,186091,4801,89,39,208808,218153,81702,41645,40057,280996,138366,142630,64263,28797,35466,6632,2391,4241,113390,61334,25544,41661,15488,4861,2026,14812,8030,52056,38160,10333,28245,27368,278125,113390,41568,73376,13076,36715,6588,115510,57539,43017,1151,2635,11168,131518,59632,47511,2511,6913,14951,133793,135198,63655,71076,1042,955,5849,6087,173,151,4296,4686,137545,139280,66019,73641,2194,2255,7131,7514,391,398,194321,204558,121449,123881,62452,69784,721,683,5716,5956,101,90,3882,4164,124829,127497,64568,72038,1754,1830,6919,7276,294,299,14487,13595,12344,11317,1203,1292,321,272,133,131,72,61,414,522,12716,11783,1451,1603,440,425,212,238,97,99,3,3,134,11,1383,1270,2659,1295,15499,28,186427,603,166
District 3,172965,74706,3944,44,19,91421,81544,35726,18247,17479,102760,56938,45822,34479,16236,18243,3880,1492,2388,25678,15657,5761,10747,3818,1922,758,2988,1185,10021,8605,3295,7405,8571,65747,25678,10938,17205,7805,4121,1735,29179,9899,12496,943,1686,4155,28287,6875,12344,797,3451,4820,69334,64643,19208,13976,653,535,572,778,61,59,1593,1553,70797,66094,20064,14761,1223,1107,810,1031,156,139,84023,75842,62887,59631,18769,13672,414,395,539,730,35,44,1379,1370,64161,60911,19489,14361,916,899,750,959,112,108,7398,5702,6447,5012,439,304,239,140,33,48,26,15,214,183,6636,5183,575,400,307,208,60,72,44,31,4,1,12,26,2752,300,433,133,1945,26,72688,364,138
District 4,1252085,498973,2015,621,248,609248,642837,281828,143984,137844,783628,383112,400516,186629,82152,104477,19743,6668,13075,475820,311401,133448,209429,80802,25765,11458,76207,41188,164419,137687,49043,148991,132378,1228608,475820,208636,366297,97097,80758,33002,488325,184308,231491,7439,13249,51838,525647,156481,229048,13128,44712,82278,410463,419198,151021,171296,3008,2942,25997,29852,826,748,17933,18801,426287,435712,160431,181164,6851,7121,33130,37405,1955,1965,547672,581918,360159,369622,144492,164875,2095,2068,25167,29007,574,517,15185,15829,373472,383400,152216,172930,5160,5408,31604,35796,1526,1544,61576,60919,50304,49576,6529,6421,913,874,830,845,252,231,2748,2972,52815,52312,8215,8234,1691,1713,1526,1609,429,421,9,13,479,43,5553,328,590,271,3690,11,597521,1138,32
District 5,1184020,524602,4124,287,127,573040,610980,201285,102415,98870,603185,293500,309685,379550,177125,202425,41163,17948,23215,481117,316439,82319,246192,50861,20793,8249,49454,23209,164678,141759,84780,98214,250880,1156308,481117,246508,278006,87981,62696,28466,488350,132858,263847,8202,22626,60817,530930,107448,267597,8699,70620,76566,492025,526507,56849,57713,3233,2893,9168,11848,587,702,11178,11317,502007,536535,62905,63776,6822,6645,11740,14554,1279,1367,497164,537284,425300,461125,51823,53202,1929,1840,8732,11435,349,412,9031,9270,433306,469283,56618,58074,4815,4923,10997,13813,885,943,75876,73696,66725,65382,5026,4511,1304,1053,436,413,238,290,2147,2047,68701,67252,6287,5702,2007,1722,743,741,394,424,240,10,392,36,4583,812,1603,708,8269,25,342104,1043,50
District 6,1514910,732562,1021,1484,718,730234,784676,267323,136268,131055,883841,430548,453293,363746,163418,200328,51541,19830,31711,611020,353546,115340,260239,72260,23193,9658,70114,33422,257474,210756,104964,133233,247479,1486976,611020,260311,387145,119242,109258,46343,617673,207935,285475,10032,27263,86968,676753,176340,283493,12453,86604,117863,618593,661611,68320,74366,3247,3110,22419,27194,843,857,16812,17538,634067,677669,76941,83438,7452,7594,28112,33149,1616,1666,639998,692108,538729,579727,63169,68921,1845,1850,21720,26427,550,590,13985,14593,551534,592989,70111,76205,5167,5430,26823,31752,1204,1287,90236,92568,79864,81884,5151,5445,1402,1260,699,767,293,267,2827,2945,82533,84680,6830,7233,2285,2164,1289,1397,412,379,775,30,1433,81,9409,1897,3679,2228,23369,13,431523,891,13
District 7,547538,254226,1101,449,231,267217,280321,96836,49477,47359,316969,156625,160344,133733,61115,72618,16979,6658,10321,218423,131946,41611,98799,26756,11237,5096,21910,9759,86477,69838,33216,46591,88636,538003,218423,98655,138829,40911,41185,15840,226714,76640,108619,1837,10561,29057,240868,58338,107519,5730,28833,40448,224745,234635,29929,32412,1302,1290,5145,5843,237,191,5859,5950,230150,240094,33239,35769,3004,3089,6734,7428,514,450,227528,240463,189931,199797,27242,29517,760,773,4895,5544,136,99,4564,4733,194117,204109,29734,32105,2029,2165,6253,6912,355,298,39689,39858,34814,34838,2687,2895,542,517,250,299,101,92,1295,1217,36033,35985,3505,3664,975,924,481,516,159,152,78,3,100,25,3061,773,1516,710,8051,9,172437,425,9
District 8,400009,165402,3466,115,48,199618,200391,75253,38276,36977,261889,132951,128938,62867,28391,34476,7117,2635,4482,97782,49488,19029,37146,12759,3188,1498,9154,4772,48294,38342,10191,21155,24872,255105,97782,37251,71845,18779,29448,4718,110281,58211,41274,1000,1945,7851,118472,55609,42671,1309,6680,12203,147511,149154,37264,36076,848,888,8736,9054,175,129,5084,5090,152154,153757,39983,38848,1991,2002,10496,10800,395,392,181907,182953,132063,133798,36084,35094,582,635,8591,8848,110,88,4477,4490,136156,137860,38395,37450,1552,1594,10240,10484,296,309,17711,17438,15448,15356,1180,982,266,253,145,206,65,41,607,600,15998,15897,1588,1398,439,408,256,316,99,83,5,1,35,14,1618,781,1526,1023,7752,26,152107,527,97
District 9,1380645,487839,903,1269,540,677345,703300,305917,156078,149839,909908,449158,460750,164820,72109,92711,19063,6785,12278,458157,298508,128670,209358,83018,26228,10022,62922,35630,159649,118427,33703,143617,110232,1348468,458157,209280,413768,145807,121456,34598,547119,230391,241504,9918,8528,56778,578840,214161,234618,16701,39033,74327,466308,474063,150500,162923,3973,3859,36514,42244,1512,1260,18538,18951,481795,489759,161940,174711,7786,7816,43021,48975,2936,2698,457646,476635,273628,275110,133895,145485,1402,1503,35101,40688,869,700,12751,13149,283885,285557,141392,153279,3704,3953,40277,46069,1976,1866,219699,226665,192680,198953,16605,17438,2571,2356,1413,1556,643,560,5787,5802,197910,204202,20548,21432,4082,3863,2744,2906,960,832,42,8,289,40,4962,1572,3219,2500,23824,15,482253,824,7
