District,FDOH Deaths by Age 2/21,FDOH Deaths 0-24,FDOH Deaths 25-44,FDOH Deaths 45-64,FDOH Deaths 65-84,FDOH Deaths 85+,FDOH Male Deaths,FDOH Female Deaths,FDOH Deaths by race/eth,FDOH W TOTAL,FDOH W/H,FDOH W,FDOH W/U,FDOH B TOTAL,FDOH B/H,FDOH B,FDOH B/U,FDOH O TOTAL,FDOH O/H,FDOH O,FDOH O/U,FDOH U TOTAL,FDOH U/H,FDOH U,FDOH U/U,ME Deaths TOTAL,ME Age 0-24,ME Age 25-44,ME Age 45-64,ME Age 65-84,ME Age 85+,ME Deaths Male,ME Deaths Female,ME Deaths Other,ME W,ME B,ME H,ME Other,ME U,ME Asian/Pac,ME Arabic,ME Haitian,ME AIAN,ME M,ME W/H,ME W/I,ME Not Reported
District 1,5.86828E-05,0,4.818E-06,0.000145656,0.000120443,0.001310902,6.34838E-05,5.38359E-05,5.86828E-05,3.88469E-05,,,,9.92819E-05,,,,1.59987E-05,,,,,,,,4.20985E-05,0,0,0.000218484,8.6719E-05,0.000873935,4.3169E-05,4.10179E-05,,2.70751E-05,8.27349E-05,0,,,,,,,,,,
District 2,3.64145E-05,0,2.660E-05,6.88218E-05,6.73242E-05,0.000292697,4.65084E-05,2.67414E-05,2.2759E-05,2.16729E-05,,,,2.88166E-05,,,,0,,,,,,,,4.09663E-05,0,2.65972E-05,7.86535E-05,6.73242E-05,0.000439046,4.65084E-05,3.56552E-05,,2.16729E-05,7.92456E-05,3.46476E-05,,,,,,,,,,
District 3,0.000141161,0,2.504E-05,9.35104E-05,0.00044919,0.00190528,0.000170933,0.000107786,0.000129868,0.000124011,,,,0.000175649,,,,0.000170678,,,,,,,,6.21107E-05,0,0,2.33776E-05,0.000241871,0.000816549,5.34165E-05,7.18571E-05,,6.56527E-05,2.92749E-05,0,,,,,,,,,,
District 4,5.0262E-05,0,5.486E-06,2.68582E-05,0.000214879,0.000833906,5.56235E-05,4.51811E-05,4.79422E-05,4.20541E-05,,,,6.89219E-05,,,,2.89934E-05,,,,,,,,4.79422E-05,0,2.74275E-06,2.98425E-05,0.000214879,0.000686746,5.8802E-05,3.76509E-05,,4.55586E-05,6.29287E-05,7.89971E-06,,,,,,,,,,
District 5,4.56814E-05,0,0.000E+00,3.94518E-05,0.000113796,0.000310866,5.31942E-05,3.86337E-05,4.15286E-05,4.34439E-05,,,,1.71621E-05,,,,0.0001162,,,,,,,,4.23592E-05,0,0,3.94518E-05,0.000103756,0.000282606,4.46145E-05,4.02434E-05,,4.63401E-05,8.58104E-06,6.58588E-06,,,,,,,,,,
District 6,5.71537E-05,0,2.840E-06,1.3842E-05,0.000143417,0.000675115,5.45166E-05,5.96075E-05,5.51829E-05,5.83166E-05,,,,4.17763E-05,,,,3.243E-05,,,,,,,,5.58398E-05,0,0,1.3842E-05,0.000146604,0.000636537,5.45166E-05,5.7071E-05,,6.22044E-05,2.78509E-05,0,,,,,,,,,,
District 7,6.4153E-05,0,0.000E+00,1.32781E-05,0.000171917,0.000768367,6.76039E-05,6.08634E-05,6.4153E-05,6.33585E-05,,,,4.82952E-05,,,,0.00011655,,,,,,,,5.31553E-05,0,8.26303E-06,1.32781E-05,0.000154726,0.000472841,6.76039E-05,3.93822E-05,,5.46194E-05,4.82952E-05,0,,,,,,,,,,
District 8,2.98886E-05,0,0.000E+00,1.09431E-05,0.000178377,0.000140056,1.49564E-05,4.47966E-05,2.98886E-05,2.34968E-05,,,,6.79043E-05,,,,0,,,,,,,,5.2305E-05,0,9.5627E-06,3.28292E-05,0.000267566,0.000280112,4.98547E-05,5.47514E-05,,4.36369E-05,9.50661E-05,2.84164E-05,,,,,,,,,,
District 9,3.01941E-05,0,2.251E-06,2.31297E-05,0.000166281,0.000457712,3.57821E-05,2.48123E-05,2.247E-05,1.75259E-05,,,,3.09317E-05,,,,8.40766E-05,,,,,,,,3.93225E-05,0,4.50223E-06,3.18033E-05,0.000219491,0.000508569,4.72324E-05,3.17046E-05,,3.71136E-05,3.40249E-05,0,,,,,,,,,,
District 10,6.46899E-05,0,9.910E-06,3.4821E-05,0.000173282,0.000774876,6.34267E-05,6.59089E-05,5.87001E-05,4.34041E-05,,,,0.000110806,,,,0.000223519,,,,,,,,5.63042E-05,0,4.95479E-06,2.98466E-05,0.00013615,0.000820457,5.85477E-05,5.41394E-05,,4.49008E-05,8.70618E-05,2.00177E-05,,,,,,,,,,
