Area Name,All Specialties AAMC,Allergy Immunology AAMC,AnatomicorClinical Pathology AAMC,Anesthesiology AAMC,Cardiovascular Disease AAMC,Child Adolescent Psychiatry AAMC,Critical Care Medicine AAMC,Dermatology AAMC,Emergency Medicine AAMC,Endocrinology Diabetes Metabolism AAMC,Fam MedicineorGeneral Practice AAMC,Gastroenterology AAMC,General Surgery AAMC,Geriatric Medicine AAMC,Hematology Oncology AAMC,Infectious Disease AAMC,Internal Medicine AAMC,Internal MedicineorPediatrics AAMC,Interventional Cardiology AAMC,Neonatal Perinatal Medicine AAMC,Nephrology AAMC,Neurological Surgery AAMC,Neurology AAMC,Neuroradiology AAMC,Obstetrics Gynecology AAMC,Ophthalmology AAMC,Orthopedic Surgery AAMC,Otolaryngology AAMC,Pain Medicine Pain Management AAMC,Pediatrics AAMC,Physical Medicine Rehabilitation AAMC,Plastic Surgery AAMC,Preventive Medicine AAMC,Psychiatry AAMC,Pulmonary Disease AAMC,Radiation Oncology AAMC,Radiology Diagnostic Radiology AAMC,Rheumatology AAMC,Sports Medicine AAMC,Thoracic Surgery AAMC,Urology AAMC,Vascular Interventional Radiology AAMC,Vascular Surgery AAMC,Total nurse practitioners 2019,Total physician assistants 2019,Total Hospitals 2019,Internal Medicine Primary Care 2019,Fam MedicineorGeneral Practice Primary Care 2019,Pediatrics Primary Care 2019,Obstetrics Gynecology Primary Care 2019,Geriatrics Primary Care 2019,Total Primary Care Physicians 2019,Psychiatry specialists 2019,Surgery specialists 2019,Anesthesiology specialists 2019,Emergency Medicine specialists 2019,Radiology specialists 2019,Cardiology specialists 2019,Oncology Cancer specialists 2019,Endocrinology Diabetes and Metabolism specialists 2019,All Other Specialties specialists 2019,Total Specialist Physicians 2019,ICU Beds
Florida,56484,256,757,2631,1643,416,739,944,2641,477,6879,1093,1463,405,939,566,7513,184,292,354,653,416,961,231,2525,1340,1170,584,463,3481,544,652,304,1859,420,372,1809,367,147,322,733,267,259,12360,6093,217,11595,8280,4683,2733,105,27396,2303,2818,2806,2928,2684,2107,1099,422,11936,29103,
Alachua ,716,3,10,33,21,5,9,12,33,6,87,14,19,5,12,7,95,2,4,4,8,5,12,3,32,17,15,7,6,44,7,8,4,24,5,5,23,5,2,4,9,3,3,157,77,3,147,105,59,35,1,347,29,36,36,37,34,27,14,5,151,369,210
Baker ,75,0,1,4,2,1,1,1,4,1,9,1,2,1,1,1,10,0,0,0,1,1,1,0,3,2,2,1,1,5,1,1,0,2,1,0,2,0,0,0,1,0,0,16,8,0,15,11,6,4,0,36,3,4,4,4,4,3,1,1,16,39,0
Bay ,491,2,7,23,14,4,6,8,23,4,60,10,13,4,8,5,65,2,3,3,6,4,8,2,22,12,10,5,4,30,5,6,3,16,4,3,16,3,1,3,6,2,2,108,53,2,101,72,41,24,1,238,20,25,24,25,23,18,10,4,104,253,77
Bradford ,74,0,1,3,2,1,1,1,3,1,9,1,2,1,1,1,10,0,0,0,1,1,1,0,3,2,2,1,1,5,1,1,0,2,1,0,2,0,0,0,1,0,0,16,8,0,15,11,6,4,0,36,3,4,4,4,3,3,1,1,16,38,0
Brevard ,1583,7,21,74,46,12,21,26,74,13,193,31,41,11,26,16,211,5,8,10,18,12,27,6,71,38,33,16,13,98,15,18,9,52,12,10,51,10,4,9,21,7,7,346,171,6,325,232,131,77,3,768,65,79,79,82,75,59,31,12,334,816,159
Broward ,5175,23,69,241,151,38,68,86,242,44,630,100,134,37,86,52,688,17,27,32,60,38,88,21,231,123,107,54,42,319,50,60,28,170,38,34,166,34,13,29,67,24,24,1132,558,20,1062,759,429,250,10,2510,211,258,257,268,246,193,101,39,1093,2666,587
Calhoun ,39,0,1,2,1,0,1,1,2,0,5,1,1,0,1,0,5,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,8,4,0,8,6,3,2,0,19,2,2,2,2,2,1,1,0,8,20,0
Charlotte ,491,2,7,23,14,4,6,8,23,4,60,9,13,4,8,5,65,2,3,3,6,4,8,2,22,12,10,5,4,30,5,6,3,16,4,3,16,3,1,3,6,2,2,107,53,2,101,72,41,24,1,238,20,24,24,25,23,18,10,4,104,253,51
Citrus ,392,2,5,18,11,3,5,7,18,3,48,8,10,3,7,4,52,1,2,2,5,3,7,2,18,9,8,4,3,24,4,5,2,13,3,3,13,3,1,2,5,2,2,86,42,2,81,58,33,19,1,190,16,20,19,20,19,15,8,3,83,202,40
Clay ,573,3,8,27,17,4,7,10,27,5,70,11,15,4,10,6,76,2,3,4,7,4,10,2,26,14,12,6,5,35,6,7,3,19,4,4,18,4,1,3,7,3,3,125,62,2,118,84,48,28,1,278,23,29,28,30,27,21,11,4,121,295,28
Collier ,1004,5,13,47,29,7,13,17,47,8,122,19,26,7,17,10,134,3,5,6,12,7,17,4,45,24,21,10,8,62,10,12,5,33,7,7,32,7,3,6,13,5,5,220,108,4,206,147,83,49,2,487,41,50,50,52,48,37,20,7,212,517,73
Columbia ,187,1,3,9,5,1,2,3,9,2,23,4,5,1,3,2,25,1,1,1,2,1,3,1,8,4,4,2,2,12,2,2,1,6,1,1,6,1,0,1,2,1,1,41,20,1,38,27,16,9,0,91,8,9,9,10,9,7,4,1,40,96,27
DeSoto ,99,0,1,5,3,1,1,2,5,1,12,2,3,1,2,1,13,0,1,1,1,1,2,0,4,2,2,1,1,6,1,1,1,3,1,1,3,1,0,1,1,0,0,22,11,0,20,15,8,5,0,48,4,5,5,5,5,4,2,1,21,51,8
Dixie ,44,0,1,2,1,0,1,1,2,0,5,1,1,0,1,0,6,0,0,0,1,0,1,0,2,1,1,0,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,10,5,0,9,6,4,2,0,21,2,2,2,2,2,2,1,0,9,23,0
Duval ,2520,11,34,117,73,19,33,42,118,21,307,49,65,18,42,25,335,8,13,16,29,19,43,10,113,60,52,26,21,155,24,29,14,83,19,17,81,16,7,14,33,12,12,551,272,10,517,369,209,122,5,1222,103,126,125,131,120,94,49,19,532,1298,412
Escambia ,837,4,11,39,24,6,11,14,39,7,102,16,22,6,14,8,111,3,4,5,10,6,14,3,37,20,17,9,7,52,8,10,5,28,6,6,27,5,2,5,11,4,4,183,90,3,172,123,69,40,2,406,34,42,42,43,40,31,16,6,177,431,120
Flagler ,297,1,4,14,9,2,4,5,14,3,36,6,8,2,5,3,40,1,2,2,3,2,5,1,13,7,6,3,2,18,3,3,2,10,2,2,10,2,1,2,4,1,1,65,32,1,61,44,25,14,1,144,12,15,15,15,14,11,6,2,63,153,18
Franklin ,31,0,0,1,1,0,0,1,1,0,4,1,1,0,1,0,4,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,7,3,0,6,5,3,2,0,15,1,2,2,2,1,1,1,0,7,16,0
Gadsden ,122,1,2,6,4,1,2,2,6,1,15,2,3,1,2,1,16,0,1,1,1,1,2,0,5,3,3,1,1,8,1,1,1,4,1,1,4,1,0,1,2,1,1,27,13,0,25,18,10,6,0,59,5,6,6,6,6,5,2,1,26,63,0
Gilchrist ,48,0,1,2,1,0,1,1,2,0,6,1,1,0,1,0,6,0,0,0,1,0,1,0,2,1,1,1,0,3,0,1,0,2,0,0,2,0,0,0,1,0,0,11,5,0,10,7,4,2,0,23,2,2,2,3,2,2,1,0,10,25,0
Glades ,36,0,0,2,1,0,0,1,2,0,4,1,1,0,1,0,5,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,8,4,0,7,5,3,2,0,18,1,2,2,2,2,1,1,0,8,19,0
Gulf ,43,0,1,2,1,0,1,1,2,0,5,1,1,0,1,0,6,0,0,0,0,0,1,0,2,1,1,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,9,5,0,9,6,4,2,0,21,2,2,2,2,2,2,1,0,9,22,0
