Area Name,Republican Party of Florida AIAN,Republican Party of Florida Asian,"Republican Party of Florida Black, Not Hispanic",Republican Party of Florida Hispanic,"Republican Party of Florida White, Not Hispanic",Republican Party of Florida Other,Republican Party of Florida Multi-Racial,Republican Party of Florida Unknown,Florida Democratic Party AIAN,Florida Democratic Party Asian,"Florida Democratic Party Black, Not Hispanic",Florida Democratic Party Hispanic,"Florida Democratic Party White, Not Hispanic",Florida Democratic Party Other,Florida Democratic Party Multi-Racial,Florida Democratic Party Unknown,Green Party of Florida AIAN,Green Party of Florida Asian,"Green Party of Florida Black, Not Hispanic",Green Party of Florida Hispanic,"Green Party of Florida White, Not Hispanic",Green Party of Florida Other,Green Party of Florida Multi-Racial,Green Party of Florida Unknown,Independent Party of Florida AIAN,Independent Party of Florida Asian,"Independent Party of Florida Black, Not Hispanic",Independent Party of Florida Hispanic,"Independent Party of Florida White, Not Hispanic",Independent Party of Florida Other,Independent Party of Florida Multi-Racial,Independent Party of Florida Unknown,Libertarian Party of Florida AIAN,Libertarian Party of Florida Asian,"Libertarian Party of Florida Black, Not Hispanic",Libertarian Party of Florida Hispanic,"Libertarian Party of Florida White, Not Hispanic",Libertarian Party of Florida Other,Libertarian Party of Florida Multi-Racial,Libertarian Party of Florida Unknown,No Party Affiliation AIAN,No Party Affiliation Asian,"No Party Affiliation Black, Not Hispanic",No Party Affiliation Hispanic,"No Party Affiliation White, Not Hispanic",No Party Affiliation Other,No Party Affiliation Multi-Racial,No Party Affiliation Unknown,2020 vote by mail Republican,2020 vote by mail Democrat,2020 vote by mail Other,2020 vote by mail NPA,Total 2020 vote by mail,2018 Voter registration,2018 Voter turnout,2018 Percent Turnout,2016 General Voter registration,2016 General Voter turnout,2016 General Percent Turnout
Florida,15433,68512,63894,564973,3986388,50564,14005,60778,15282,89374,1451899,901402,2396866,93384,38543,118683,34,111,346,795,4312,189,114,221,279,1646,9126,14662,75894,2443,259,2271,158,391,950,3081,27411,616,316,848,11509,112962,311367,835140,2047575,88591,32070,181299,682050,694200,871,18403,1395524,13278070,8305929,0.63,12863773,9580489,0.75
Alachua ,173,1064,875,2617,43530,1018,243,342,274,3054,24545,6696,50445,2821,912,1052,1,5,5,16,115,6,6,1,5,29,90,80,741,30,3,12,3,7,20,41,640,27,11,7,156,2900,4459,4583,25722,2832,581,1221,4702,10666,36,551,15955,180934,116175,0.64,177947,130979,0.74
Baker ,58,46,42,91,8757,65,17,47,14,25,1279,42,3138,54,16,35,0,0,0,0,3,0,0,0,0,0,3,1,45,2,0,1,0,0,0,2,23,1,2,0,5,20,99,44,1475,28,17,71,756,229,0,0,985,15108,10603,0.70,15147,12767,0.84
Bay ,308,810,507,1029,57610,436,158,658,141,375,7469,828,18758,416,182,469,1,1,3,5,64,2,2,0,5,19,52,28,775,16,1,8,2,7,10,11,454,9,4,13,127,606,1743,1109,19331,447,209,883,3172,2088,0,0,5260,120851,63888,0.53,118016,88708,0.75
Bradford ,28,32,103,64,8178,62,17,34,6,24,1917,73,3585,68,22,30,0,0,0,0,6,0,0,0,0,0,3,1,34,0,0,0,0,1,0,1,52,1,0,1,8,25,223,68,2103,62,20,51,1169,602,0,0,1771,16317,10594,0.65,16042,12231,0.76
Brevard ,676,2603,1738,6943,167823,1927,538,1283,515,2138,28343,10662,88937,2635,938,1823,0,5,9,22,232,8,3,8,19,63,295,221,3790,105,10,68,10,18,31,56,1323,38,11,27,411,2854,6662,9385,84847,2471,916,2642,27583,21533,0,0,49116,422606,284252,0.67,412032,320627,0.78
Broward ,700,4971,8072,54208,173028,6539,1175,2754,1748,13494,231839,111380,203851,20856,6102,11049,2,7,31,111,223,18,11,18,16,129,1369,1849,4793,309,36,175,5,23,87,319,1105,48,20,33,1083,13888,49371,95771,135956,19608,4139,15276,28533,64675,123,2800,96131,1175328,715519,0.61,1179255,843767,0.72
Calhoun ,37,9,19,33,2921,12,11,29,40,17,690,31,3481,26,9,29,0,0,0,0,3,0,0,0,0,0,2,0,22,0,0,1,0,0,0,0,11,0,0,0,9,6,48,30,781,20,6,28,306,240,0,0,546,8695,4659,0.54,8596,6197,0.72
Charlotte ,205,513,291,1338,62436,664,83,330,138,353,4026,2093,31368,683,183,409,1,1,0,3,49,1,2,1,4,17,42,53,1478,20,1,15,1,1,2,10,268,5,1,9,146,550,1204,1827,33144,678,165,578,8129,7780,0,0,15909,134545,87912,0.65,128332,98173,0.77
Citrus ,178,523,185,1054,52089,583,81,240,97,306,1918,1320,24085,503,84,171,0,2,0,2,42,0,0,0,5,15,21,28,965,14,0,4,0,0,5,5,253,3,1,1,101,406,433,964,22714,537,92,261,10228,5716,0,0,15944,109388,71494,0.65,105696,80973,0.77
Clay ,378,1783,1085,2849,74850,893,303,656,129,826,12265,2879,18077,608,284,558,0,1,3,5,49,0,0,2,5,28,142,82,851,36,5,24,5,7,16,20,443,10,5,5,152,1476,3847,3568,24554,782,381,961,8387,3533,0,0,11920,153119,94066,0.61,146641,107838,0.74
Collier ,165,746,430,6118,97917,1114,153,478,106,531,5393,8397,35254,798,172,604,0,2,3,14,40,1,1,1,2,11,35,108,980,18,1,10,1,5,2,42,376,8,2,6,83,733,1719,7599,36742,957,197,892,22410,10680,15,404,33509,213664,157097,0.74,200707,174500,0.87
Columbia ,91,144,217,475,18945,112,35,83,51,103,4974,411,8102,122,36,100,1,0,1,0,17,0,0,0,0,1,11,4,158,3,2,5,0,0,3,2,139,2,0,1,39,139,685,419,5802,99,52,149,1923,1216,1,25,3165,40375,25049,0.62,37385,29016,0.78
DeSoto ,24,33,57,242,5666,38,6,19,12,18,1336,861,4297,65,13,27,0,0,1,0,5,0,0,0,0,0,5,3,53,1,0,0,0,0,0,0,19,0,0,0,8,32,200,752,2783,54,16,52,293,289,0,0,582,16735,8993,0.54,15884,10993,0.69
Dixie ,23,18,22,49,4453,24,10,28,13,11,383,37,3094,15,8,18,1,0,0,0,2,0,0,0,0,0,1,0,46,0,1,3,0,0,1,0,10,0,1,0,10,3,43,34,1426,32,7,35,689,262,0,0,951,9670,5860,0.61,9923,7282,0.73
Duval ,840,7103,6242,8089,196297,2936,799,2139,945,5459,143561,13322,87931,4506,2025,4246,1,10,41,18,208,4,2,6,13,134,866,265,3161,96,14,108,12,28,114,79,1802,47,17,53,618,8018,25883,11999,75701,4207,1666,7404,17807,16495,0,0,34302,607386,381875,0.63,588121,438942,0.75
Escambia ,789,2301,1654,1746,88935,1156,326,1244,403,1161,34991,1582,33785,1036,508,865,0,3,6,3,97,1,4,5,11,32,189,57,1432,33,6,34,5,16,25,22,678,11,6,16,338,1848,6349,1661,31838,1081,426,1710,12368,8161,0,0,20529,212987,130406,0.61,210039,155218,0.74
Flagler ,120,512,329,1324,33921,525,70,336,80,390,5889,2287,17384,745,170,347,0,1,2,1,31,1,1,2,1,9,31,26,460,17,0,10,1,3,7,5,182,4,1,3,61,537,1392,1633,17142,580,137,676,5278,4129,7,85,9499,82611,53327,0.65,79281,58402,0.74
Franklin ,9,10,6,14,3009,11,3,13,7,7,546,34,3184,5,3,10,0,0,0,0,3,0,0,0,1,0,4,1,125,0,0,0,0,0,0,0,12,0,0,1,6,4,26,14,995,9,6,23,447,380,0,0,827,7783,5525,0.71,7229,6108,0.85
Gadsden ,17,26,215,119,4539,47,4,48,61,33,16074,572,4917,222,41,165,0,1,1,0,4,0,0,0,0,1,23,6,90,1,1,4,1,0,4,0,29,0,0,0,20,31,920,273,1509,80,34,231,433,1745,0,0,2178,29450,20161,0.69,29584,22335,0.76
Gilchrist ,15,18,19,97,6758,36,5,21,10,6,206,82,2647,26,7,7,0,0,0,0,3,0,0,0,0,0,2,4,49,0,0,0,1,0,0,0,30,2,0,0,8,9,36,60,1696,37,6,19,510,207,0,0,717,11751,7422,0.63,11423,8516,0.75
Glades ,32,7,10,158,2795,17,6,5,103,9,387,300,1563,23,7,8,0,0,0,0,1,0,0,0,1,0,1,5,45,0,0,1,0,0,0,2,10,0,0,0,46,7,40,203,897,13,8,15,360,174,0,0,534,6784,3871,0.57,6611,4414,0.67
Gulf ,19,17,27,32,5243,21,6,18,17,11,868,33,2711,21,7,23,0,0,0,0,2,0,0,0,0,4,2,2,156,1,0,1,0,0,0,0,25,0,0,1,5,4,69,12,1136,18,10,24,420,229,0,0,649,10198,5950,0.58,10210,7375,0.72
Hamilton ,7,18,69,55,2617,23,2,6,5,6,1956,66,1867,9,6,11,0,0,0,0,1,0,0,0,0,0,3,2,47,0,1,0,0,0,0,1,11,0,0,0,4,4,162,54,722,7,7,7,365,298,0,0,663,7727,4593,0.59,8086,5530,0.68
Hardee ,14,27,43,607,4973,48,18,37,13,43,621,1176,2263,62,22,60,0,0,0,0,0,0,0,0,0,0,2,7,19,0,0,0,0,0,0,5,22,1,1,0,11,37,121,866,1265,41,22,93,209,105,0,0,314,12239,6463,0.53,11720,7700,0.66
Hendry ,35,36,96,1520,5009,86,34,17,115,58,2087,2454,2595,138,31,25,0,0,0,1,0,0,0,0,2,1,7,58,72,2,1,1,0,0,0,2,16,1,0,0,62,32,229,1495,1416,88,21,55,569,355,0,4,928,17773,8971,0.51,17477,11266,0.65
Hernando ,231,427,345,2998,54333,518,133,401,140,410,4784,6012,30270,677,213,446,0,1,2,3,53,4,1,3,8,11,55,116,1285,21,2,17,2,3,4,14,325,2,1,4,153,462,1150,4109,28313,635,253,1184,11754,8341,0,0,20095,133853,81412,0.61,130639,95324,0.73
Highlands ,100,240,208,1731,26169,208,39,117,74,154,3849,2892,10885,219,71,120,0,0,0,2,5,0,0,0,1,2,13,35,286,11,1,5,1,0,0,6,71,0,0,1,55,313,863,2864,9778,194,61,260,4147,2407,0,0,6554,59272,40176,0.68,61603,46382,0.75
Hillsborough ,873,5788,4989,29284,225174,2820,1039,4721,946,8254,104018,68606,145437,5948,3186,9749,2,10,32,48,319,26,9,14,16,172,883,937,4830,172,15,150,14,29,78,246,2043,54,28,75,743,11550,26486,58612,127460,5453,2749,14346,49281,56963,0,0,106244,857266,527294,0.62,849838,608263,0.72
Holmes ,46,25,23,34,6582,21,11,19,15,15,173,28,2573,13,5,14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,11,0,0,0,7,8,37,15,1238,8,7,36,800,232,0,0,1032,10751,6841,0.64,11230,8622,0.77
Indian River ,126,340,387,1437,51542,465,79,439,67,285,5736,2551,23551,488,120,469,0,0,1,4,42,3,0,2,2,6,40,72,1096,20,1,10,2,4,4,10,214,4,3,9,89,401,1312,2357,23657,477,135,884,8773,6192,0,0,14965,113426,74999,0.66,106647,81716,0.77
Jackson ,72,36,187,145,11082,81,30,79,47,33,5660,110,7371,145,37,110,0,0,0,0,6,0,0,0,0,2,8,0,52,1,0,1,0,0,2,2,33,0,0,1,26,31,444,79,2371,63,49,108,1092,967,0,0,2059,27996,16111,0.58,28952,21287,0.74
Jefferson ,13,9,29,38,3425,14,7,10,9,20,2813,50,2193,37,12,16,0,0,2,0,0,1,0,0,0,0,5,0,23,0,0,0,1,0,0,0,20,0,0,0,5,6,123,31,876,16,6,21,261,460,0,0,721,9791,7404,0.76,9506,7753,0.82
